# host	dc02-pe-t137-n047
# kernel	5.15.152.bsk.15-amd64
# compiler	gcc 12.2.0
# flags	-std=c11 -O3 -march=native -mtune=native -DNDEBUG -flto -Wall -Wextra -Werror
# cpu	96
# cpu_topology	2 sockets; 64 cores/socket; SMT2; 256 logical CPUs; AMD EPYC 7Y83
# memory_node	3
# frequency_governor	performance
# file	/data27 local NVMe ext4
# repeats	7; small warm scan repeats=21
# source.mmap_pread_tradeoff_benchmark.c	bfc6a073f19bba3b0dc102f69c36de3ff50f566dbcf954b15759136ddf862889
# source.virtual_memory_benchmark_support.h	1a788082817c648a1d98ad15069768eca5e4db705523f4bd9d009bcc370074f1
# binary.mmap_pread_tradeoff_benchmark	713950d950f6f854ccb077081a3450a0c59422dd1343dccf93f701ef15282c54
case	metric	round_values
scan-warm-1m-pread-reuse	perf_context_switches	2
scan-warm-1m-pread-reuse	perf_page_faults	386
scan-warm-1m-pread-reuse	perf_minor_faults	386
scan-warm-1m-pread-reuse	perf_major_faults	0
scan-warm-1m-pread-reuse	perf_pread64	26
scan-warm-1m-pread-reuse	perf_mmap	21
scan-warm-1m-pread-reuse	perf_munmap	3
scan-warm-1m-mmap-remap	gib_per_s	17.218,17.735,18.346,14.402,18.370,18.034,18.503,18.734,18.485,18.359,18.559,18.956,19.097,19.324,19.033,17.813,18.680,19.116,19.001,14.662,18.705
scan-warm-1m-mmap-remap	elapsed_ms	0.057,0.055,0.053,0.068,0.053,0.054,0.053,0.052,0.053,0.053,0.053,0.052,0.051,0.051,0.051,0.055,0.052,0.051,0.051,0.067,0.052
scan-warm-1m-mmap-remap	logical_calls	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
scan-warm-1m-mmap-remap	minor	18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
scan-warm-1m-mmap-remap	major	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scan-warm-1m-mmap-remap	read_bytes	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scan-warm-1m-mmap-remap	checksum	2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453
scan-warm-1m-mmap-remap	setup_us	0.110
scan-warm-1m-mmap-remap	warmup_us	525.571
scan-warm-1m-mmap-remap	perf_aperf	9417130
scan-warm-1m-mmap-remap	perf_mperf	7100075
scan-warm-1m-mmap-remap	perf_tsc	7099390
scan-warm-1m-mmap-remap	perf_task_clock_ms	2.91
scan-warm-1m-mmap-remap	perf_context_switches	4
scan-warm-1m-mmap-remap	perf_page_faults	509
scan-warm-1m-mmap-remap	perf_minor_faults	504
scan-warm-1m-mmap-remap	perf_major_faults	5
scan-warm-1m-mmap-remap	perf_pread64	4
scan-warm-1m-mmap-remap	perf_mmap	42
scan-warm-1m-mmap-remap	perf_munmap	24
scan-warm-1m-mmap-persistent	gib_per_s	48.184,48.469,47.203,47.383,48.206,47.246,48.228,48.043,48.255,47.898,48.277,48.255,47.850,48.255,48.326,48.299,48.491,47.498,50.612,25.363,48.277
scan-warm-1m-mmap-persistent	elapsed_ms	0.020,0.020,0.021,0.021,0.020,0.021,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.021,0.019,0.039,0.020
scan-warm-1m-mmap-persistent	logical_calls	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scan-warm-1m-mmap-persistent	minor	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scan-warm-1m-mmap-persistent	major	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scan-warm-1m-mmap-persistent	read_bytes	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scan-warm-1m-mmap-persistent	checksum	2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453,2047453
scan-warm-1m-mmap-persistent	setup_us	2.794
